"","name","nruns","lineage"
"291","L64.2.19.4.3.8.5",64,"4~7;8~6;:(8~1!2~4;4~1;)(4~1!2~3;)"
"292","L64.2.18.4.15",64,"4~16;16~1;:(16~1!4~5;)(4~1!2~3;)"
"293","L64.2.18.4.10.16.1",64,"4~16;16~1;:(4~1!2~3;)"
"294","L64.2.18.4.8.8.3",64,"4~14;8~3;:(4~1!2~3;)"
"295","L64.2.18.4.1.8.6",64,"4~7;8~6;:(4~1!2~3;)"
"296","L64.2.17.4.13.8.1",64,"2~5;4~17;8~1;:(4~1!2~3;)"
"297","L64.2.17.4.6.8.4",64,"2~5;4~10;8~4;:(4~1!2~3;)"
"298","L64.2.16.4.11.8.2",64,"4~14;8~3;:(8~1!2~4;4~1;)(4~1!2~3;)"
"299","L64.2.16.4.4.8.5",64,"4~7;8~6;:(8~1!2~4;4~1;)(4~1!2~3;)"
"300","L64.2.15.4.16",64,"4~16;16~1;:(16~1!4~5;)(4~1!2~3;)"
"301","L64.2.15.4.11.16.1",64,"4~16;16~1;:(4~1!2~3;)"
"302","L64.2.15.4.9.8.3",64,"4~14;8~3;:(4~1!2~3;)"
"303","L64.2.15.4.2.8.6",64,"4~7;8~6;:(4~1!2~3;)"
"304","L64.2.14.4.14.8.1",64,"2~5;4~17;8~1;:(4~1!2~3;)"
"305","L64.2.14.4.7.8.4",64,"2~5;4~10;8~4;:(4~1!2~3;)"
"306","L64.2.14.8.7",64,"8~9;:(8~1!2~4;4~1;)(4~1!2~3;)"
"307","L64.2.13.4.12.8.2",64,"4~14;8~3;:(8~1!2~4;4~1;)(4~1!2~3;)"
"308","L64.2.13.4.5.8.5",64,"4~7;8~6;:(8~1!2~4;4~1;)(4~1!2~3;)"
"309","L64.2.12.4.17",64,"4~16;16~1;:(16~1!4~5;)(4~1!2~3;)"
"310","L64.2.12.4.12.16.1",64,"4~16;16~1;:(4~1!2~3;)"
"311","L64.2.12.4.10.8.3",64,"4~14;8~3;:(4~1!2~3;)"
"312","L64.2.12.4.3.8.6",64,"4~7;8~6;:(4~1!2~3;)"
"313","L64.2.11.4.15.8.1",64,"2~5;4~17;8~1;:(4~1!2~3;)"
"314","L64.2.11.4.8.8.4",64,"2~5;4~10;8~4;:(4~1!2~3;)"
"315","L64.2.11.4.1.8.7",64,"8~9;:(8~1!2~4;4~1;)(4~1!2~3;)"
"316","L64.2.10.4.13.8.2",64,"4~14;8~3;:(8~1!2~4;4~1;)(4~1!2~3;)"
"317","L64.2.10.4.6.8.5",64,"4~7;8~6;:(8~1!2~4;4~1;)(4~1!2~3;)"
"318","L64.2.9.4.18",64,"4~16;16~1;:(16~1!4~5;)(4~1!2~3;)"
"319","L64.2.9.4.13.16.1",64,"4~16;16~1;:(4~1!2~3;)"
"320","L64.2.9.4.11.8.3",64,"4~14;8~3;:(4~1!2~3;)"
"321","L64.2.9.4.4.8.6",64,"4~7;8~6;:(4~1!2~3;)"
"322","L64.2.8.4.16.8.1",64,"2~5;4~17;8~1;:(4~1!2~3;)"
"323","L64.2.8.4.9.8.4",64,"2~5;4~10;8~4;:(4~1!2~3;)"
"324","L64.2.8.4.2.8.7",64,"8~9;:(8~1!2~4;4~1;)"
"325","L64.2.7.4.14.8.2",64,"4~14;8~3;:(8~1!2~4;4~1;)(4~1!2~3;)"
"326","L64.2.7.4.7.8.5",64,"4~7;8~6;:(8~1!2~4;4~1;)(4~1!2~3;)"
"327","L64.2.7.8.8",64,"8~9;:(8~1!2~4;4~1;)(4~1!2~3;)"
"328","L64.2.6.4.19",64,"4~16;16~1;:(16~1!4~5;)(4~1!2~3;)"
"329","L64.2.6.4.14.16.1",64,"4~16;16~1;:(4~1!2~3;)"
"330","L64.2.6.4.12.8.3",64,"4~14;8~3;:(4~1!2~3;)"
"331","L64.2.6.4.5.8.6",64,"4~7;8~6;:(4~1!2~3;)"
"332","L64.2.5.4.17.8.1",64,""
"333","L64.2.5.4.10.8.4",64,""
"334","L64.2.4.4.15.8.2",64,"4~14;8~3;:(8~1!2~4;4~1;)"
"335","L64.2.4.4.8.8.5",64,"4~7;8~6;:(8~1!2~4;4~1;)"
"336","L64.2.4.4.1.8.8",64,"8~9;:(8~1!2~4;4~1;)"
"337","L64.2.3.4.20",64,"4~16;16~1;:(16~1!4~5;)(4~1!2~3;)"
"338","L64.2.3.4.15.16.1",64,"4~16;16~1;:(4~1!2~3;)"
"339","L64.2.3.4.13.8.3",64,"4~14;8~3;:(4~1!2~3;)"
"340","L64.2.3.4.6.8.6",64,"4~7;8~6;:(4~1!2~3;)"
"341","L64.4.21",64,"4~16;16~1;:(16~1!4~5;)"
"342","L64.4.16.16.1",64,""
"343","L64.4.14.8.3",64,""
"344","L64.4.7.8.6",64,""
"345","L64.8.9",64,""
"346","L65.5.1.13.1",65,""
"347","L66.2.1.3.1.11.1",66,"2~1;33~1;:(33~1!3~1;11~1;)"
"348","L66.2.1.33.1",66,""
"349","L66.3.1.22.1",66,""
"350","L66.6.1.11.1",66,""
"351","L68.2.67",68,""
"352","L68.2.18.17.1",68,""
"353","L68.2.2.34.1",68,""
"354","L68.4.1.17.1",68,""
"355","L69.3.1.23.1",69,""
"356","L70.2.1.5.1.7.1",70,"2~1;35~1;:(35~1!5~1;7~1;)"
"357","L70.2.1.35.1",70,""
"358","L70.5.1.14.1",70,""
"359","L70.7.1.10.1",70,""
"360","L72.2.71",72,"2~68;4~1;:(4~1!2~3;)"
"361","L72.2.68.4.1",72,""
"362","L72.2.63.3.1",72,"2~60;3~1;4~1;:(4~1!2~3;)"
"363","L72.2.60.3.1.4.1",72,""
"364","L72.2.56.3.2",72,"2~53;3~2;4~1;:(4~1!2~3;)"
"365","L72.2.54.3.1.6.1",72,"2~51;3~1;4~1;6~1;:(4~1!2~3;)"
"366","L72.2.53.3.2.4.1",72,""
"367","L72.2.52.3.4",72,"2~49;4~1;9~1;:(9~1!3~4;)(4~1!2~3;)"
"368","L72.2.52.9.1",72,"2~49;4~1;9~1;:(4~1!2~3;)"
"369","L72.2.51.3.1.4.1.6.1",72,""
"370","L72.2.49.3.4.4.1",72,"2~49;4~1;9~1;:(9~1!3~4;)"
"371","L72.2.49.3.2.6.1",72,"2~46;3~2;4~1;6~1;:(4~1!2~3;)"
"372","L72.2.49.4.1.9.1",72,""
"373","L72.2.49.6.2",72,"2~46;4~1;6~2;:(4~1!2~3;)"
"374","L72.2.47.3.12",72,"2~44;3~12;4~1;:(4~1!2~3;)"
"375","L72.2.46.3.8.6.1",72,"2~43;3~8;4~1;6~1;:(4~1!2~3;)"
"376","L72.2.46.3.2.4.1.6.1",72,""
"377","L72.2.46.3.1.6.2",72,"2~43;3~1;4~1;6~2;:(4~1!2~3;)"
"378","L72.2.46.4.1.6.2",72,""
"379","L72.2.45.3.4.6.2",72,"2~42;3~4;4~1;6~2;:(4~1!2~3;)"
"380","L72.2.44.3.12.4.1",72,""
"381","L72.2.44.6.3",72,"2~41;4~1;6~3;:(4~1!2~3;)"
"382","L72.2.43.3.8.4.1.6.1",72,""
"383","L72.2.43.3.1.4.1.6.2",72,""
"384","L72.2.42.3.4.4.1.6.2",72,""
"385","L72.2.41.4.1.6.3",72,""
"386","L72.2.40.3.13",72,"2~37;3~13;4~1;:(4~1!2~3;)"
"387","L72.2.40.3.1.6.3",72,"2~37;3~1;4~1;6~3;:(4~1!2~3;)"
"388","L72.2.39.3.9.6.1",72,"2~36;3~9;4~1;6~1;:(4~1!2~3;)"
