"","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53"
"48","1","2","2","1","2","1","1","1","2","1","2","1","1","1","1","2","2","1","1","1","1","2","2","1","1","1","2","2","1","2","1","2","1","1","1","2","1","2","3","3","3","3","2","3","8","2","3","8","4","3","3","7","1"
"49","1","1","1","1","2","2","1","2","2","2","1","1","1","1","1","1","1","2","2","1","2","1","2","2","2","1","1","2","2","2","2","1","1","2","2","1","2","2","3","1","2","4","2","6","7","5","4","6","7","5","7","8","1"
"50","2","2","2","1","1","2","1","2","2","2","1","2","2","1","1","2","2","1","2","2","2","1","2","2","2","1","1","2","2","1","1","1","1","2","2","1","2","2","2","4","3","1","5","1","1","6","6","8","4","6","4","5","3"
"51","2","2","1","2","1","2","2","1","1","1","1","2","2","1","1","1","1","1","1","1","1","2","2","2","1","2","1","2","2","2","2","1","2","2","1","1","2","2","1","4","2","3","6","2","6","8","7","5","4","1","2","6","1"
"52","2","1","2","2","1","1","2","2","1","2","2","2","2","1","1","2","2","2","2","1","2","1","2","1","2","2","2","2","1","2","1","2","2","1","2","2","1","2","1","2","3","4","6","7","5","3","8","7","7","7","6","5","1"
"53","2","2","1","1","2","2","1","2","1","1","1","2","2","1","2","1","2","2","1","2","1","1","1","2","1","2","2","2","1","1","1","1","1","2","2","2","2","1","3","1","2","4","7","7","3","6","5","5","8","3","6","7","6"
"54","1","1","2","2","2","2","2","1","1","1","1","1","2","2","2","1","2","2","2","1","1","2","2","1","2","2","1","1","1","2","1","2","1","1","1","1","1","1","1","4","2","3","7","6","5","5","5","8","6","8","4","4","3"
"55","1","1","2","1","1","2","2","1","2","1","2","2","1","2","2","1","2","1","2","2","1","1","1","2","2","1","2","2","1","1","1","1","2","1","2","2","1","2","4","1","3","2","7","6","6","3","4","1","4","4","2","3","4"
"56","2","1","1","1","1","1","1","1","2","2","1","2","2","1","2","2","1","1","1","1","1","1","1","1","2","2","1","1","1","1","1","1","2","2","1","2","1","2","4","4","4","4","5","6","4","2","2","2","8","2","1","4","1"
"57","2","2","1","1","2","2","1","2","1","2","2","2","2","1","1","2","2","1","1","1","1","2","2","2","2","1","1","1","1","1","2","2","2","1","2","2","2","1","1","3","4","2","7","5","1","5","2","1","7","1","3","1","8"
"58","2","1","1","2","2","1","2","2","2","2","1","2","2","1","1","2","2","2","1","2","1","2","2","1","2","2","2","1","2","2","2","1","1","2","2","1","1","1","2","1","4","3","8","3","5","4","4","2","4","4","5","1","6"
"59","1","2","1","1","1","1","2","2","2","1","2","2","1","2","1","1","1","1","1","1","2","1","2","1","2","2","2","1","2","1","1","1","1","1","1","1","2","2","2","1","4","3","7","1","7","7","8","7","8","8","3","6","2"
"60","1","2","1","2","2","1","1","1","2","1","2","2","2","1","1","2","2","2","2","1","2","2","1","2","1","2","1","2","2","1","2","2","1","2","2","2","1","2","1","1","1","1","4","7","7","7","2","8","1","4","2","4","5"
