"","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55"
"75","1","1","2","2","2","2","1","1","1","1","2","2","1","1","1","1","2","1","2","2","2","1","2","1","2","2","2","1","2","1","2","1","1","1","1","2","2","1","1","1","1","1","1","3","3","7","3","5","1","5","1","3","2","8","15"
"76","1","2","2","1","2","1","2","2","2","1","1","2","2","2","1","2","2","2","1","2","1","2","1","1","1","1","1","1","2","2","1","2","1","2","1","2","2","1","1","1","2","2","1","2","2","7","1","7","4","7","4","3","8","5","1"
"77","1","1","2","2","2","2","1","2","2","1","2","1","2","2","2","1","1","2","2","1","1","1","1","1","1","1","1","1","2","1","2","1","1","1","2","1","2","1","2","2","1","2","2","2","4","5","8","5","6","7","2","4","4","1","2"
"78","1","2","1","2","2","1","2","1","2","2","2","1","2","2","2","1","2","1","2","1","1","1","2","1","2","1","2","2","1","2","2","2","1","2","2","2","1","2","1","2","2","1","2","2","2","8","7","3","3","2","5","4","8","6","15"
"79","1","2","1","2","1","1","1","2","1","2","1","1","1","2","1","2","2","1","2","1","2","2","1","1","1","1","2","2","2","2","1","2","2","1","1","2","2","2","1","2","1","2","2","1","1","1","6","3","1","7","7","8","4","8","3"
"80","2","1","1","2","2","1","2","2","1","2","2","1","2","1","1","1","2","2","1","1","1","1","2","2","1","1","2","2","1","1","1","1","2","2","1","2","2","1","2","2","1","2","2","1","1","7","4","2","6","3","4","7","2","6","16"
"81","2","1","1","2","1","1","1","1","2","2","1","1","1","1","2","2","2","2","1","1","2","2","1","2","2","1","2","2","2","1","2","1","1","1","2","2","1","1","2","2","2","1","2","2","2","2","1","2","8","6","2","3","6","8","4"
"82","2","1","2","1","1","1","1","1","2","2","1","1","1","1","1","1","1","1","1","2","1","2","1","1","1","1","2","2","1","2","2","2","1","2","2","2","1","1","2","2","2","2","1","1","3","7","8","6","3","5","8","5","4","3","7"
"83","2","2","1","1","2","1","2","1","2","2","1","1","1","2","2","1","1","2","2","2","2","1","2","1","2","1","1","1","1","1","1","2","2","1","1","2","2","1","1","1","1","2","2","3","4","6","6","5","3","3","8","6","7","5","4"
"84","2","1","2","1","1","2","2","1","2","2","1","1","1","1","2","2","2","2","1","1","1","1","2","2","1","2","2","1","1","1","1","2","1","2","2","2","1","1","1","1","1","1","1","2","3","6","4","3","7","7","1","8","3","1","5"
"85","1","1","2","2","1","2","2","2","1","2","2","2","1","2","1","2","2","2","1","1","1","1","1","2","2","1","2","2","1","2","2","2","2","1","2","1","2","2","2","1","2","1","2","2","2","6","6","5","4","8","3","1","2","7","7"
"86","2","1","2","1","2","2","1","1","1","1","1","2","2","1","1","1","1","2","2","1","1","1","2","1","2","2","1","2","2","2","1","1","2","2","2","2","1","2","1","2","2","2","1","2","1","5","2","3","1","8","4","5","1","7","4"
"87","2","2","1","1","2","1","2","2","2","1","2","2","1","2","2","1","2","2","1","2","1","2","1","2","2","1","2","2","1","2","2","1","2","2","2","2","1","2","1","2","1","2","2","4","1","4","5","5","7","5","7","3","1","1","9"
"88","1","1","1","1","2","2","1","1","1","1","2","2","1","1","2","2","1","2","2","1","1","1","2","2","1","2","2","1","1","2","2","2","1","2","1","2","2","1","1","1","1","2","2","4","2","2","6","1","6","6","7","5","8","3","12"
"89","2","1","2","1","1","2","2","2","1","2","1","2","2","2","1","2","1","1","1","2","2","1","1","2","2","1","1","1","1","1","1","2","1","2","1","1","1","1","2","2","1","2","2","3","4","8","7","3","4","5","2","7","1","8","12"
"90","1","1","1","1","1","2","2","2","1","2","2","2","1","2","2","1","1","1","1","2","2","1","1","1","1","1","2","2","2","1","2","1","2","2","2","1","2","2","2","1","2","2","1","1","3","3","3","1","7","7","5","7","8","4","4"
"91","2","2","1","1","2","1","2","2","1","2","1","2","2","1","1","1","2","1","2","1","1","1","1","1","1","2","2","1","1","1","1","2","2","1","2","1","2","1","2","2","1","1","1","2","3","8","1","5","8","1","7","5","5","4","13"
"92","1","2","1","2","1","2","2","1","2","2","1","2","2","1","1","1","2","1","2","1","1","1","1","2","2","1","1","1","2","1","2","2","2","1","2","1","2","2","1","2","2","2","1","3","2","2","5","6","2","7","1","6","1","3","16"
"93","2","2","2","2","1","2","2","2","2","1","1","1","1","1","2","2","1","1","1","1","2","2","2","2","1","1","1","1","1","2","2","2","1","2","2","1","2","2","1","2","1","2","2","2","4","3","2","8","1","3","5","3","2","3","13"
"94","2","1","2","1","2","1","2","1","1","1","1","2","2","1","2","2","2","1","2","2","1","2","1","2","2","1","1","1","2","1","2","1","2","2","2","2","1","2","2","1","1","1","1","1","1","8","6","6","5","6","5","8","2","5","2"
"95","2","2","2","2","2","2","1","2","2","1","2","2","1","2","2","1","2","2","1","2","2","1","2","2","1","2","2","1","2","2","1","2","2","1","2","2","1","2","2","1","2","2","1","4","4","8","8","8","8","8","8","8","8","8","16"
"96","1","2","1","2","2","1","2","2","1","2","2","2","1","1","1","1","1","2","2","2","2","1","1","1","1","2","1","2","1","2","2","2","1","2","1","1","1","2","2","1","2","2","1","3","1","6","4","3","8","4","6","3","6","3","2"
"97","2","1","2","1","2","2","1","1","2","2","2","2","1","2","2","1","1","1","1","2","1","2","2","2","1","1","1","1","2","1","2","2","2","1","2","1","2","1","2","2","2","1","2","4","3","1","6","3","2","4","4","3","5","6","8"
"98","1","2","2","1","2","1","2","2","1","2","2","2","1","1","2","2","2","1","2","1","1","1","1","2","2","2","1","2","2","1","2","1","1","1","1","1","1","2","2","1","2","1","2","4","4","3","5","7","3","3","4","5","4","8","5"
"99","2","2","1","1","2","2","1","1","1","1","2","1","2","1","2","2","2","2","1","2","2","1","1","1","1","1","1","1","1","1","1","1","2","2","1","1","1","2","1","2","2","2","1","2","2","3","6","4","8","5","1","1","4","6","6"
"100","2","2","1","1","1","2","2","2","2","1","1","1","1","1","1","1","2","2","1","2","1","2","2","1","2","1","1","1","2","1","2","1","1","1","2","1","2","2","1","2","1","1","1","1","1","6","7","4","6","4","3","5","8","8","10"
"101","1","1","1","1","1","1","1","1","2","2","2","1","2","1","2","2","1","1","1","2","1","2","1","2","2","1","1","1","2","2","1","1","2","2","1","2","2","2","2","1","1","2","2","3","4","4","4","8","8","7","3","5","5","7","15"
"102","2","2","1","1","2","1","2","1","1","1","2","1","2","1","1","1","1","1","1","1","2","2","2","2","1","2","1","2","1","2","2","1","2","2","1","1","1","2","2","1","1","1","1","1","2","2","2","5","4","7","8","4","3","8","8"
