"","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52"
"94","1","1","1","1","1","1","1","1","1","1","2","2","2","3","3","1","1","3","3","1","1","3","3","3","1","1","2","2","1","1","2","2","1","1","1","2","2","3","3","2","2","3","3","2","3","3","2","2","3","3","1","5"
"95","2","1","1","2","1","1","2","1","2","2","1","2","3","2","1","1","3","3","2","2","1","2","3","1","3","2","2","1","1","3","3","2","3","1","2","1","3","3","2","2","1","1","3","3","2","3","1","3","1","3","6","8"
"96","2","2","1","1","1","2","1","2","1","2","2","1","3","1","3","2","3","3","2","1","2","1","3","2","3","2","1","2","2","1","3","1","3","2","1","2","1","3","1","1","3","2","3","3","1","1","1","1","3","3","4","3"
"97","2","2","1","1","1","2","1","2","1","2","3","1","2","3","1","2","3","1","2","3","1","1","2","3","1","2","3","1","2","3","1","2","2","3","1","2","3","1","2","3","1","2","3","2","3","3","3","3","2","2","2","5"
"98","2","2","2","1","2","1","2","1","1","2","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","2","3","2","1","3","1","3","5","9"
"99","2","2","2","2","1","2","1","1","2","1","1","1","3","2","3","1","2","1","3","3","2","2","2","1","3","1","2","3","2","1","1","3","3","3","2","1","2","3","1","3","2","2","1","2","1","1","2","2","1","1","5","5"
"100","2","2","2","2","1","2","1","1","2","1","2","1","3","1","3","2","3","3","2","1","2","2","1","3","1","3","2","3","3","2","1","2","2","1","3","1","3","2","3","3","2","1","2","1","3","3","1","1","3","3","3","1"
"101","1","1","2","1","1","2","2","2","2","2","3","2","1","1","2","1","3","3","1","3","2","3","2","1","1","2","1","3","3","1","3","2","3","2","1","1","2","1","3","3","1","3","2","2","1","2","2","3","2","3","3","4"
"102","2","2","2","1","2","1","2","1","1","2","3","3","2","1","2","3","1","3","2","2","1","3","3","2","1","2","3","1","3","2","2","1","3","3","2","1","2","3","1","3","2","2","1","3","1","3","2","1","2","1","1","1"
"103","1","2","2","2","1","1","2","2","1","1","3","3","3","3","3","3","3","3","3","3","3","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","2","2","3","1","2","2","1","4","9"
"104","2","2","2","1","2","1","2","1","1","2","2","3","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","2","1","3","1","3","5","3"
"105","2","2","1","1","1","2","1","2","1","2","1","3","1","3","1","3","2","3","2","1","2","1","3","1","3","1","3","2","3","2","1","2","1","3","1","3","1","3","2","3","2","1","2","1","2","2","2","2","1","1","6","4"
"106","1","2","1","1","2","2","2","1","2","1","1","2","3","1","2","3","1","2","3","1","2","1","2","3","1","2","3","1","2","3","1","2","1","2","3","1","2","3","1","2","3","1","2","3","1","3","1","2","1","2","2","7"
"107","1","1","2","2","2","2","1","1","1","2","3","1","1","2","2","2","2","3","3","1","1","2","3","3","1","1","1","1","2","2","3","3","1","2","2","3","3","3","3","1","1","2","2","3","2","2","2","2","3","3","2","9"
"108","1","2","1","1","2","2","2","1","2","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","3","3","3","3","3","1","2","1","2","3","2","3","4","2"
